55657	25841	22834	113.2	543	456995
132225	19720	22966	85.9	802	209453
176859	21456	24963	86.0	599	210000
91105	25496	25583	99.7	707	284000
72550	24912	25617	97.2	580	300951
479918	30724	25930	118.5	940	401795
49549	25092	26428	94.9	650	190600
297841	29930	26660	112.3	1079	400187
374658	45486	27281	166.7	2463	697499
57828	27259	27559	98.9	660	273133
42749	28877	27842	103.7	825	384250
93452	28251	28118	100.5	723	312600
324463	29940	28574	104.8	732	301790
35252	38856	28607	135.8	1130	422500
13852	32994	29488	111.9	720	315750
31968	28354	29792	95.2	648	228192
153272	32826	29922	109.7	799	422861
42881	28197	30035	93.9	705	282826
60611	34111	30071	113.4	1000	454083
38412	29953	30442	97.4	675	266276
80055	34657	30658	113.0	902	412668
52169	29211	30734	95.0	769	255500
65704	30268	30826	98.2	731	245000
36560	31119	31013	100.3	871	254900
41469	29317	31404	93.4	686	276150
40261	29704	31438	94.5	531	277500
53582	28831	31493	91.5	619	222871
43412	30479	31599	96.5	608	296140
30013	33632	31742	106.0	990	293149
620456	28638	31765	90.2	810	232601
45137	30795	31910	96.5	737	287500
8391881	52375	32013	163.6	1898	771659
27181	29542	32100	92.0	683	225000
3831868	42818	32112	133.3	1854	580113
85832	30409	32155	94.6	582	265651
63325	30797	32192	95.7	630	276500
53060	30180	32228	93.6	680	280883
67791	29455	32270	91.3	667	234816
51577	30338	32314	93.9	708	254607
44163	39282	32654	120.3	1300	396925
37661	30568	32677	93.5	523	203481
75616	29068	32690	88.9	580	223000
81798	32094	32832	97.8	650	249500
193205	30468	32985	92.4	609	233500
76636	33554	33071	101.5	817	287450
26322	33568	33140	101.3	820	267983
171909	40790	33203	122.9	1260	364180
55439	35589	33217	107.1	789	360000
56598	30348	33363	91.0	579	236000
